MicrorregiõesIBGE;Pop_2020;Infeccaocovid;mortalidadecovid;PIBpercapita;Rendamediapercapita;Taxa_Analfabetismo;Instalacoessanitarias;taxa_insta_san;Abastecimentodeagua;taxaabste_agua;Coletadelixo;taxacoleta_lixo;ESF2020_Dez;CoberturaESF;Medicos_total;taxamedicos;Enfermeiros;taxa_enfer;Fisioterapeutas;taxa_fisio;ACS;taxa_acs;Leitosdeinternacao;taxa_leitos_interpormil;LeitosUTI;taxa_UTI;EquipamentosRaioX;taxaEquip_raioxpormil;EquipamentosTomografoComputadorizado;taxaEquip_tomografopormil;Resp_VentEquipamentos_Existentes;taxaventiladorespormil;taxainf;taxamortal
43035 Litoral Lagunar;275939,00;9537,00;194,00;33944,07;775,70;1,21;69159,00;250,63;78497,00;0,28;64440,00;0,23;72,00;0,78;566,00;2,05;562,00;2,04;103,00;0,37;282,00;1,02;741,00;2,69;32,00;0,12;32,00;0,12;7,00;0,03;128,00;0,46;34,56;0,70
50001 Baixo Pantanal;153045,00;8418,00;238,00;22625,36;596,68;2,91;15070,00;98,47;32455,00;0,21;30413,00;0,20;38,00;0,74;202,00;1,32;160,00;1,05;47,00;0,31;247,00;1,61;239,00;1,56;21,00;0,14;21,00;0,14;3,00;0,02;48,00;0,31;55,00;1,56
50002 Aquidauana;112953,00;6028,00;150,00;13648,40;496,03;1,44;16276,00;144,10;24884,00;0,22;22908,00;0,20;35,00;0,93;130,00;1,15;155,00;1,37;41,00;0,36;192,00;1,70;211,00;1,87;11,00;0,10;11,00;0,10;2,00;0,02;20,00;0,18;53,37;1,33
50003 Alto Taquari;130164,00;4373,00;88,00;26510,25;678,77;0,89;15996,00;122,89;32271,00;0,25;31905,00;0,25;42,00;0,97;133,00;1,02;163,00;1,25;52,00;0,40;266,00;2,04;255,00;1,96;22,00;0,17;22,00;0,17;1,00;0,01;17,00;0,13;33,60;0,68
50004 Campo Grande;1018063,00;64875,00;1129,00;24375,35;1018,96;0,76;330723,00;324,86;244996,00;0,24;259479,00;0,25;250,00;0,74;3295,00;3,24;1917,00;1,88;567,00;0,56;1778,00;1,75;2422,00;2,38;122,00;0,12;122,00;0,12;35,00;0,03;701,00;0,69;63,72;1,11
50005 Cassilândia;74663,00;3896,00;66,00;43251,79;816,44;0,95;10548,00;141,27;17110,00;0,23;17187,00;0,23;22,00;0,88;139,00;1,86;113,00;1,51;38,00;0,51;127,00;1,70;194,00;2,60;35,00;0,47;35,00;0,47;2,00;0,03;25,00;0,33;52,18;0,88
50006 Paranaíba;82475,00;2572,00;50,00;44017,42;681,83;0,92;15763,00;191,12;17123,00;0,21;21593,00;0,26;25,00;0,91;125,00;1,52;137,00;1,66;40,00;0,48;147,00;1,78;309,00;3,75;15,00;0,18;15,00;0,18;6,00;0,07;31,00;0,38;31,19;0,61
50007 Três Lagoas;183776,00;5723,00;74,00;49263,57;761,58;1,43;31609,00;172,00;40789,00;0,22;41715,00;0,23;49,00;0,80;345,00;1,88;320,00;1,74;97,00;0,53;302,00;1,64;259,00;1,41;29,00;0,16;29,00;0,16;6,00;0,03;72,00;0,39;31,14;0,40
50008 Nova Andradina;102562,00;2736,00;38,00;26492,03;632,75;1,86;3707,00;36,14;22936,00;0,22;22160,00;0,22;29,00;0,85;183,00;1,78;101,00;0,98;50,00;0,49;171,00;1,67;157,00;1,53;12,00;0,12;12,00;0,12;4,00;0,04;34,00;0,33;26,68;0,37
50009 Bodoquena;110869,00;2876,00;58,00;16319,44;588,89;1,53;24719,00;222,96;25868,00;0,23;23937,00;0,22;34,00;0,92;91,00;0,82;116,00;1,05;35,00;0,32;192,00;1,73;165,00;1,49;13,00;0,12;13,00;0,12;1,00;0,01;12,00;0,11;25,94;0,52
